SettlementPoint,Month,DayOfWeek,Hour,Price,NormalizedPrice
HB_HUBAVG,1,0,1,18.144444444444446,0.03151314221535654
HB_HUBAVG,1,0,2,17.436666666666667,0.030283878798872635
HB_HUBAVG,1,0,3,17.34722222222222,0.030128532323163128
HB_HUBAVG,1,0,4,17.925555555555558,0.031132977548092286
HB_HUBAVG,1,0,5,19.489444444444445,0.033849128660652865
HB_HUBAVG,1,0,6,22.055555555555557,0.038305932209113734
HB_HUBAVG,1,0,7,36.775555555555556,0.06387152364016355
HB_HUBAVG,1,0,8,33.501666666666665,0.05818545667521877
HB_HUBAVG,1,0,9,28.075000000000003,0.04876046055888067
HB_HUBAVG,1,0,10,27.643888888888892,0.048011709843659704
HB_HUBAVG,1,0,11,25.401666666666667,0.04411743421655685
HB_HUBAVG,1,0,12,23.162222222222223,0.04022798301416548
HB_HUBAVG,1,0,13,22.176111111111112,0.038515312241591756
HB_HUBAVG,1,0,14,21.61,0.037532094485393096
HB_HUBAVG,1,0,15,21.18722222222222,0.036797817044306555
HB_HUBAVG,1,0,16,20.70777777777778,0.03596512133910593
HB_HUBAVG,1,0,17,21.55,0.037427886911625234
HB_HUBAVG,1,0,18,31.69777777777778,0.05505247526758673
HB_HUBAVG,1,0,19,33.49666666666666,0.05817677271073811
HB_HUBAVG,1,0,20,26.913888888888888,0.046743851029483995
HB_HUBAVG,1,0,21,25.114444444444445,0.043618588701390314
HB_HUBAVG,1,0,22,23.487222222222222,0.04079244070540809
HB_HUBAVG,1,0,23,21.445,0.03724552365753146
HB_HUBAVG,1,0,24,19.428888888888892,0.03374395620194271
HB_HUBAVG,1,1,1,16.70684210526316,0.026066562815382582
HB_HUBAVG,1,1,2,15.892105263157895,0.024795383681771633
HB_HUBAVG,1,1,3,15.94263157894737,0.02487421649625914
HB_HUBAVG,1,1,4,16.832105263157896,0.02626200250129951
HB_HUBAVG,1,1,5,19.257894736842104,0.03004679877185044
HB_HUBAVG,1,1,6,23.18842105263158,0.03617933479885725
HB_HUBAVG,1,1,7,41.96157894736842,0.06546983125671824
HB_HUBAVG,1,1,8,40.22421052631579,0.06275913208355949
HB_HUBAVG,1,1,9,31.86894736842105,0.04972297656284001
HB_HUBAVG,1,1,10,30.21578947368421,0.047143665413827106
HB_HUBAVG,1,1,11,27.28631578947368,0.042573004523853895
HB_HUBAVG,1,1,12,25.42473684210526,0.03966850801508005
HB_HUBAVG,1,1,13,24.288947368421052,0.037896412039413116
HB_HUBAVG,1,1,14,23.342105263157894,0.03641911794292339
HB_HUBAVG,1,1,15,22.665263157894735,0.03536308669885125
HB_HUBAVG,1,1,16,22.78578947368421,0.03555113580840998
HB_HUBAVG,1,1,17,24.26578947368421,0.037860280332773014
HB_HUBAVG,1,1,18,39.72736842105263,0.06198394274109907
HB_HUBAVG,1,1,19,44.306315789473686,0.0691281665540288
HB_HUBAVG,1,1,20,33.27894736842106,0.05192290479213183
HB_HUBAVG,1,1,21,29.371052631578944,0.045825679296614207
HB_HUBAVG,1,1,22,26.78736842105263,0.041794530480789835
HB_HUBAVG,1,1,23,23.633157894736843,0.03687322780137744
HB_HUBAVG,1,1,24,21.676315789473687,0.033820098590288616
HB_HUBAVG,1,2,1,20.70777777777778,0.02364789418655406
HB_HUBAVG,1,2,2,19.999444444444446,0.0228389907930933
HB_HUBAVG,1,2,3,20.118333333333332,0.022974759676387888
HB_HUBAVG,1,2,4,21.022222222222222,0.024006983849847226
HB_HUBAVG,1,2,5,25.031111111111112,0.028585059839818096
HB_HUBAVG,1,2,6,38.53944444444445,0.04401132337864039
HB_HUBAVG,1,2,7,126.19722222222224,0.14411486301300336
HB_HUBAVG,1,2,8,126.98944444444444,0.14501956594561125
HB_HUBAVG,1,2,9,57.59888888888889,0.06577685178605869
