SettlementPoint,Month,DayOfWeek,Hour,Price,NormalizedPrice
HB_NORTH,1,0,1,18.337777777777777,0.031948832311218485
HB_NORTH,1,0,2,17.64888888888889,0.030748621693613334
HB_NORTH,1,0,3,17.579444444444444,0.030627632720064423
HB_NORTH,1,0,4,18.096666666666668,0.03152875859505668
HB_NORTH,1,0,5,19.658333333333335,0.034249558632224494
HB_NORTH,1,0,6,22.241666666666667,0.03875034844824382
HB_NORTH,1,0,7,36.8,0.0641144768630366
HB_NORTH,1,0,8,33.36055555555556,0.05812213498110636
HB_NORTH,1,0,9,27.915,0.048634663631295295
HB_NORTH,1,0,10,27.404999999999998,0.04774612060955212
HB_NORTH,1,0,11,25.140555555555554,0.04380091216006938
HB_NORTH,1,0,12,22.96611111111111,0.040012505420306016
HB_NORTH,1,0,13,21.849444444444444,0.03806700272563959
HB_NORTH,1,0,14,21.287777777777777,0.037088443907576034
HB_NORTH,1,0,15,20.839444444444446,0.0363073390943443
HB_NORTH,1,0,16,20.448888888888888,0.035626897107105246
HB_NORTH,1,0,17,21.387777777777778,0.03726266802948646
HB_NORTH,1,0,18,31.31888888888889,0.054565059158768504
HB_NORTH,1,0,19,33.26,0.05794694294740754
HB_NORTH,1,0,20,26.69888888888889,0.046515904726506845
HB_NORTH,1,0,21,25.008333333333333,0.04357054915443226
HB_NORTH,1,0,22,23.43277777777778,0.04082555132255467
HB_NORTH,1,0,23,21.603333333333335,0.03763821780338227
HB_NORTH,1,0,24,19.68777777777778,0.03430085795700923
HB_NORTH,1,1,1,16.936842105263157,0.02677331620551058
HB_NORTH,1,1,2,16.07421052631579,0.025409690808965157
HB_NORTH,1,1,3,16.17421052631579,0.025567768188674508
HB_NORTH,1,1,4,17.063684210526315,0.026973824881878758
HB_NORTH,1,1,5,19.47947368421053,0.030792641581173157
HB_NORTH,1,1,6,23.334736842105265,0.03688694056207325
HB_NORTH,1,1,7,42.123684210526314,0.06658801623704286
HB_NORTH,1,1,8,39.97315789473684,0.06318852058708276
HB_NORTH,1,1,9,31.49105263157895,0.049780230842893555
HB_NORTH,1,1,10,29.7,0.04694898177367812
HB_NORTH,1,1,11,26.78684210526316,0.042343938106881945
HB_NORTH,1,1,12,24.90421052631579,0.03936792343730111
HB_NORTH,1,1,13,23.70263157894737,0.03746849892216187
HB_NORTH,1,1,14,22.59842105263158,0.035722991855687
HB_NORTH,1,1,15,21.682105263157894,0.034274503865823924
HB_NORTH,1,1,16,21.835263157894737,0.03451661185264193
HB_NORTH,1,1,17,23.387894736842107,0.0369709711691819
HB_NORTH,1,1,18,38.65894736842105,0.061111051023218246
