SettlementPoint,Month,DayOfWeek,Hour,Price,NormalizedPrice
HB_PAN,4,0,1,4.115,0.008814394345078719
HB_PAN,4,0,2,3.33,0.007132912070258113
HB_PAN,4,0,3,3.0900000000000003,0.0066188283174467176
HB_PAN,4,0,4,3.7299999999999995,0.007989718324943771
HB_PAN,4,0,5,7.2725,0.015577808718003641
HB_PAN,4,0,6,11.4225,0.024467173610367352
HB_PAN,4,0,7,16.0775,0.03443825639927171
HB_PAN,4,0,8,14.825000000000001,0.03175538181428725
HB_PAN,4,0,9,17.2725,0.03699796508514512
HB_PAN,4,0,10,15.879999999999999,0.034015208311020666
HB_PAN,4,0,11,16.6825,0.035734175859483776
HB_PAN,4,0,12,18.705,0.04006640248473813
HB_PAN,4,0,13,19.427500000000002,0.041614008782264116
HB_PAN,4,0,14,23.5625,0.05047124344007711
HB_PAN,4,0,15,27.0775,0.058000428403127344
HB_PAN,4,0,16,38.472500000000004,0.08240869658348507
HB_PAN,4,0,17,52.16,0.11172753561100995
HB_PAN,4,0,18,41.4275,0.08873835278997537
HB_PAN,4,0,19,27.57,0.05905537110420906
HB_PAN,4,0,20,26.39,0.05652779265288636
HB_PAN,4,0,21,25.495,0.0546106886580272
HB_PAN,4,0,22,20.1175,0.04309199957159687
HB_PAN,4,0,23,18.0125,0.038583056656313584
HB_PAN,4,0,24,14.735,0.03156260040698297
HB_PAN,4,1,1,13.469999999999999,0.031731635639785864
HB_PAN,4,1,2,11.8475,0.02790946943150431
HB_PAN,4,1,3,10.932500000000001,0.02575397970541641
HB_PAN,4,1,4,10.2525,0.02415208570132922
HB_PAN,4,1,5,10.2975,0.024258093392776167
HB_PAN,4,1,6,12.735,0.03000017667948575
HB_PAN,4,1,7,15.8975,0.037450161661729466
HB_PAN,4,1,8,16.59,0.03908150224677413
HB_PAN,4,1,9,14.969999999999999,0.03526522535468407
HB_PAN,4,1,10,16.5125,0.038898933444837726
HB_PAN,4,1,11,17.9525,0.04229117957114
HB_PAN,4,1,12,18.1775,0.04282121802837473
HB_PAN,4,1,13,19.245,0.04533595604214395
HB_PAN,4,1,14,19.5975,0.04616634962514503
HB_PAN,4,1,15,25.15,0.059246520886459875
HB_PAN,4,1,16,40.14,0.09455886077067593
HB_PAN,4,1,17,43.8175,0.10322204488836803
HB_PAN,4,1,18,36.03,0.08487682495185485
HB_PAN,4,1,19,18.21,0.042897779138864195
HB_PAN,4,1,20,14.852500000000001,0.034988427493683714
HB_PAN,4,1,21,14.989999999999998,0.035312339884216046
HB_PAN,4,1,22,8.72,0.02054193487594156
