SettlementPoint,Month,DayOfWeek,Hour,Price,NormalizedPrice
HB_WEST,1,0,1,16.83388888888889,0.030898483984814363
HB_WEST,1,0,2,16.254444444444445,0.029834917805607028
HB_WEST,1,0,3,16.14777777777778,0.02963913189342313
HB_WEST,1,0,4,16.924999999999997,0.03106571778480477
HB_WEST,1,0,5,18.47722222222222,0.03391481069439757
HB_WEST,1,0,6,20.94,0.038435221885601896
HB_WEST,1,0,7,35.708333333333336,0.06554239325843844
HB_WEST,1,0,8,32.388333333333335,0.05944855674171455
HB_WEST,1,0,9,26.888333333333335,0.0493533456447322
HB_WEST,1,0,10,26.622777777777777,0.04886592030085769
HB_WEST,1,0,11,24.314444444444444,0.04462899079500298
HB_WEST,1,0,12,22.090555555555554,0.04054705846962718
HB_WEST,1,0,13,20.985555555555557,0.0385188387855971
HB_WEST,1,0,14,20.337222222222223,0.037328827538104334
HB_WEST,1,0,15,19.799444444444443,0.036341740230843834
HB_WEST,1,0,16,19.366111111111113,0.035546359962596745
HB_WEST,1,0,17,20.09,0.03687505289788644
HB_WEST,1,0,18,30.064444444444444,0.055183075123666346
HB_WEST,1,0,19,31.745555555555555,0.05826874267714802
HB_WEST,1,0,20,25.235,0.04631866400588174
HB_WEST,1,0,21,23.420555555555556,0.04298826406217019
HB_WEST,1,0,22,21.95111111111111,0.04029110917817844
HB_WEST,1,0,23,20.083333333333332,0.03686281627837494
HB_WEST,1,0,24,18.14333333333333,0.033301960000530255
HB_WEST,1,1,1,15.64684210526316,0.02553414802573943
HB_WEST,1,1,2,14.918947368421051,0.024346293516014993
HB_WEST,1,1,3,15.073157894736841,0.024597950328270425
HB_WEST,1,1,4,16.013684210526314,0.026132799213937494
HB_WEST,1,1,5,18.36894736842105,0.029976363155381335
HB_WEST,1,1,6,22.015263157894736,0.03592680136461551
HB_WEST,1,1,7,41.126315789473686,0.06711420924791547
HB_WEST,1,1,8,39.08789473684211,0.06378770128250497
HB_WEST,1,1,9,30.769473684210528,0.05021283466920443
HB_WEST,1,1,10,29.283684210526314,0.04778816852245672
HB_WEST,1,1,11,26.286315789473683,0.04289675027742373
HB_WEST,1,1,12,24.509473684210526,0.03999711410618029
HB_WEST,1,1,13,23.28,0.03799073078389809
HB_WEST,1,1,14,22.124736842105264,0.03610545193440776
HB_WEST,1,1,15,21.05263157894737,0.03435587880620193
HB_WEST,1,1,16,21.245263157894737,0.03467023509727868
HB_WEST,1,1,17,22.65473684210526,0.036970361183353895
HB_WEST,1,1,18,38.421578947368424,0.06270033771828867
HB_WEST,1,1,19,43.102631578947374,0.07033936737084769
HB_WEST,1,1,20,32.025263157894734,0.05226216283999437
HB_WEST,1,1,21,27.948421052631577,0.045609146909173365
HB_WEST,1,1,22,25.382105263157893,0.041421165282697354
HB_WEST,1,1,23,22.177894736842106,0.03619220052839342
HB_WEST,1,1,24,20.26578947368421,0.03307182783582013
HB_WEST,1,2,1,19.56722222222222,0.022929144315400236
HB_WEST,1,2,2,19.12777777777778,0.022414197177230352
HB_WEST,1,2,3,19.20611111111111,0.02250598927139211
HB_WEST,1,2,4,20.263333333333335,0.023744857038695902
HB_WEST,1,2,5,24.262777777777778,0.02843146190302588
HB_WEST,1,2,6,37.678333333333335,0.044151997291807715
HB_WEST,1,2,7,125.32722222222222,0.1468601895734597
HB_WEST,1,2,8,126.16222222222223,0.1478386542367585
HB_WEST,1,2,9,56.47888888888889,0.06618275089839071
HB_WEST,1,2,10,31.799999999999997,0.03726368418311546
HB_WEST,1,2,11,30.03611111111111,0.03519673454507578
