SettlementPoint,Month,DayOfWeek,Hour,Price,NormalizedPrice
LZ_CPS,1,0,1,19.309444444444445,0.03180915058759574
LZ_CPS,1,0,2,18.445,0.03038511979338741
LZ_CPS,1,0,3,18.367222222222225,0.030256993629384093
LZ_CPS,1,0,4,18.89777777777778,0.031130997105263885
LZ_CPS,1,0,5,20.458333333333332,0.03370175706730193
LZ_CPS,1,0,6,23.16444444444444,0.038159632387731734
LZ_CPS,1,0,7,38.56111111111111,0.06352312173907472
LZ_CPS,1,0,8,35.25666666666667,0.05807959014270509
LZ_CPS,1,0,9,29.835555555555555,0.04914919651167367
LZ_CPS,1,0,10,29.09222222222222,0.04792467645855621
LZ_CPS,1,0,11,26.532777777777778,0.043708410475961246
LZ_CPS,1,0,12,24.243333333333332,0.039936925319834934
LZ_CPS,1,0,13,23.19,0.038201730984475685
LZ_CPS,1,0,14,22.635555555555555,0.037288374472509156
LZ_CPS,1,0,15,22.16166666666667,0.036507720058974645
LZ_CPS,1,0,16,21.663333333333334,0.03568679742246766
LZ_CPS,1,0,17,22.723888888888887,0.037433889187341494
LZ_CPS,1,0,18,32.73388888888889,0.05392372649456883
LZ_CPS,1,0,19,35.336111111111116,0.058210461867365636
LZ_CPS,1,0,20,29.012777777777778,0.04779380473389568
LZ_CPS,1,0,21,27.177222222222223,0.04477002726341733
LZ_CPS,1,0,22,25.332222222222224,0.04173069161588142
LZ_CPS,1,0,23,22.530555555555555,0.037115404151104675
LZ_CPS,1,0,24,20.379444444444445,0.033571800529527136
LZ_CPS,1,1,1,17.492105263157896,0.02438539415044031
LZ_CPS,1,1,2,16.483684210526317,0.022979574526783213
LZ_CPS,1,1,3,16.591052631578947,0.023129254695481567
LZ_CPS,1,1,4,17.44736842105263,0.02432302741348266
LZ_CPS,1,1,5,19.864736842105263,0.02769303238814709
LZ_CPS,1,1,6,24.06421052631579,0.03354743467267735
LZ_CPS,1,1,7,44.381052631578946,0.06187073796725526
LZ_CPS,1,1,8,43.95315789473684,0.06127421847141329
LZ_CPS,1,1,9,37.23315789473685,0.051906000854057444
LZ_CPS,1,1,10,32.17315789473684,0.044851956040988884
LZ_CPS,1,1,11,29.40315789473684,0.04099035443383476
LZ_CPS,1,1,12,26.862105263157893,0.03744792377464036
LZ_CPS,1,1,13,25.719473684210524,0.03585500394011032
LZ_CPS,1,1,14,24.80526315789474,0.03458052132722286
LZ_CPS,1,1,15,24.466842105263158,0.034108735305296185
LZ_CPS,1,1,16,24.95894736842105,0.03479476941183031
LZ_CPS,1,1,17,27.05,0.037709864069862487
LZ_CPS,1,1,18,46.50526315789474,0.06483205738326782
LZ_CPS,1,1,19,54.401052631578956,0.07583941959313409
LZ_CPS,1,1,20,43.554210526315785,0.06071805392301449
LZ_CPS,1,1,21,38.746315789473684,0.05401546401586023
LZ_CPS,1,1,22,31.482105263157894,0.04388857338657252
LZ_CPS,1,1,23,26.116842105263157,0.036408967309557665
LZ_CPS,1,1,24,23.563684210526315,0.032849660945068845
LZ_CPS,1,2,1,22.191111111111113,0.024152246707968478
LZ_CPS,1,2,2,20.99,0.022844987610666556
LZ_CPS,1,2,3,21.076666666666668,0.022939313428973263
LZ_CPS,1,2,4,21.92,0.023857176199419294
LZ_CPS,1,2,5,25.834999999999997,0.028118163645620316
LZ_CPS,1,2,6,40.23222222222223,0.0437877378854812
LZ_CPS,1,2,7,132.29,0.14398110581300994
LZ_CPS,1,2,8,132.74277777777777,0.14447389774839434
LZ_CPS,1,2,9,61.757222222222225,0.06721500602838723
LZ_CPS,1,2,10,34.580000000000005,0.03763600150437588
LZ_CPS,1,2,11,31.827222222222222,0.03463994746777503
LZ_CPS,1,2,12,28.887222222222224,0.03144012547752446
LZ_CPS,1,2,13,27.202777777777776,0.029606818547358207
LZ_CPS,1,2,14,25.844444444444445,0.028128442741205024
LZ_CPS,1,2,15,24.53944444444444,0.026708113592471345
LZ_CPS,1,2,16,24.25611111111111,0.02639974072493019
LZ_CPS,1,2,17,25.23888888888889,0.027469371318420987
LZ_CPS,1,2,18,35.99666666666666,0.03917786584208165
LZ_CPS,1,2,19,39.513888888888886,0.04300592196836215
LZ_CPS,1,2,20,33.16833333333333,0.036099579040803166
